"date","new_cases"
"711","2021-12-13",43848
"712","2021-12-14",8434
"713","2021-12-15",63123
"714","2021-12-16",65586
"715","2021-12-17",60647
"716","2021-12-18",57914
"717","2021-12-19",58409
"718","2021-12-20",48473
"719","2021-12-21",14684
"720","2021-12-22",72634
"721","2021-12-23",79567
"722","2021-12-24",91288
"723","2021-12-25",93532
"724","2021-12-26",104505
"725","2021-12-27",27697
"726","2021-12-28",29767
"727","2021-12-29",174296
"728","2021-12-30",207692
"729","2021-12-31",204636
"730","2022-01-01",229948
"731","2022-01-02",219126
"732","2022-01-03",58432
"733","2022-01-04",62804
"734","2022-01-05",261541
"735","2022-01-06",329558
"736","2022-01-07",258245
"737","2022-01-08",322327
"738","2022-01-09",303669
"739","2022-01-10",290057
"740","2022-01-11",88617
"741","2022-01-12",343164
"742","2022-01-13",358044
"743","2022-01-14",299641
"744","2022-01-15",308908
"745","2022-01-16",324580
"746","2022-01-17",278129
"747","2022-01-18",98892
"748","2022-01-19",428429
"749","2022-01-20",432729
"750","2022-01-21",421807
"751","2022-01-22",379597
"752","2022-01-23",387472
"753","2022-01-24",301339
"754","2022-01-25",60695
"755","2022-01-26",500563
"756","2022-01-27",421898
"757","2022-01-28",390453
"758","2022-01-29",337275
"759","2022-01-30",330748
"760","2022-01-31",240671
"761","2022-02-01",82378
"762","2022-02-02",367424
"763","2022-02-03",311639
"764","2022-02-04",274179
"765","2022-02-05",239755
"766","2022-02-06",213366
"767","2022-02-07",149713
"768","2022-02-08",45694
"769","2022-02-09",201219
"770","2022-02-10",176501
"771","2022-02-11",153009
"772","2022-02-12",129791
"773","2022-02-13",117574
"774","2022-02-14",86562
"775","2022-02-15",26360
"776","2022-02-16",118385
"777","2022-02-17",98697
"778","2022-02-18",92318
"779","2022-02-19",78410
"780","2022-02-20",73008
"781","2022-02-21",58933
"782","2022-02-22",3480
"783","2022-02-23",95944
"784","2022-02-24",66801
"785","2022-02-25",66714
"786","2022-02-26",53362
"787","2022-02-27",53623
"788","2022-02-28",42569
"789","2022-03-01",3447
"790","2022-03-02",79705
"791","2022-03-03",56214
"792","2022-03-04",59935
"793","2022-03-05",55714
"794","2022-03-06",52449
"795","2022-03-07",45328
"796","2022-03-08",1243
"797","2022-03-09",89546
"798","2022-03-10",67257
"799","2022-03-11",72891
"800","2022-03-12",68752
"801","2022-03-13",72443
"802","2022-03-14",60422
"803","2022-03-15",9986
"804","2022-03-16",113572
"805","2022-03-17",107225
"806","2022-03-18",100519
"807","2022-03-19",92516
"808","2022-03-20",98104
"809","2022-03-21",81228
"810","2022-03-22",23602
"811","2022-03-23",168907
"812","2022-03-24",144951
"813","2022-03-25",148243
"814","2022-03-26",139188
"815","2022-03-27",139000
"816","2022-03-28",110174
"817","2022-03-29",19699
"818","2022-03-30",216341
"819","2022-03-31",169024
"820","2022-04-01",167812
"821","2022-04-02",143972
"822","2022-04-03",132114
"823","2022-04-04",102266
"824","2022-04-05",16652
"825","2022-04-06",201995
"826","2022-04-07",161950
"827","2022-04-08",157666
"828","2022-04-09",145117
"829","2022-04-10",141375
"830","2022-04-11",107654
"831","2022-04-12",25492
"832","2022-04-13",177974
"833","2022-04-14",146307
"834","2022-04-15",136424
"835","2022-04-16",122231
"836","2022-04-17",111268
"837","2022-04-18",86650
"838","2022-04-19",19810
"839","2022-04-20",25465
"840","2022-04-21",155711
"841","2022-04-22",89190
"842","2022-04-23",85499
"843","2022-04-24",80571
"844","2022-04-25",58954
"845","2022-04-26",13984
"846","2022-04-27",84609
"847","2022-04-28",67711
"848","2022-04-29",57103
"849","2022-04-30",50365
"850","2022-05-01",49482
"851","2022-05-02",36726
"852","2022-05-03",8737
"853","2022-05-04",56086
"854","2022-05-05",47925
"855","2022-05-06",42203
"856","2022-05-07",37537
"857","2022-05-08",37958
"858","2022-05-09",29324
"859","2022-05-10",7354
"860","2022-05-11",48584
"861","2022-05-12",40287
"862","2022-05-13",31824
"863","2022-05-14",30100
"864","2022-05-15",30459
"865","2022-05-16",17301
"866","2022-05-17",5936
"867","2022-05-18",43624
"868","2022-05-19",29995
"869","2022-05-20",22962
"870","2022-05-21",20943
"871","2022-05-22",22507
"872","2022-05-23",16965
"873","2022-05-24",1134
"874","2022-05-25",32029
"875","2022-05-26",22004
"876","2022-05-27",20595
"877","2022-05-28",4811
"878","2022-05-29",15638
"879","2022-05-30",16382
"880","2022-05-31",4673
"881","2022-06-01",33084
"882","2022-06-02",26068
"883","2022-06-03",25365
"884","2022-06-04",22584
"885","2022-06-05",19747
"886","2022-06-06",20542
"887","2022-06-07",6184
"888","2022-06-08",9703
"889","2022-06-09",53705
"890","2022-06-10",40151
"891","2022-06-11",5998
"892","2022-06-12",6075
"893","2022-06-13",78014
"894","2022-06-14",8474
"895","2022-06-15",65425
"896","2022-06-16",51885
"897","2022-06-17",53081
"898","2022-06-18",39241
"899","2022-06-19",50266
"900","2022-06-20",40125
"901","2022-06-21",10263
"902","2022-06-22",95217
"903","2022-06-23",77967
"904","2022-06-24",79795
"905","2022-06-25",68601
"906","2022-06-26",80926
"907","2022-06-27",66301
"908","2022-06-28",16101
"909","2022-06-29",147248
"910","2022-06-30",124724
"911","2022-07-01",133265
"912","2022-07-02",115435
"913","2022-07-03",122639
"914","2022-07-04",96191
"915","2022-07-05",24418
"916","2022-07-06",206554
"917","2022-07-07",151565
